name,medium,context,description,time,lat,lon,place
Denglish,Signage,,Signage; ,2017-07-22 19:14:07 EEST,51.33775208,12.36797288,GERMANY
"English,French",Signage,Shopping,Signage; Shopping,2017-07-22 19:16:28 EEST,51.33819301,12.36856484,GERMANY
English,Signage,Shopping,Signage; Shopping,2017-07-22 19:17:12 EEST,51.33820126,12.3686254,GERMANY
Spanish,Signage,Food,Signage; Food,2017-07-22 19:22:03 EEST,51.34016829,12.37038327,GERMANY
English,Signage,Education,Signage; Education,2017-07-22 19:22:54 EEST,51.34005724,12.37004205,GERMANY
Spanish,Signage,Food,Signage; Food,2017-07-22 19:23:31 EEST,51.34004202,12.36997672,GERMANY
English,Signage,Food,Signage; Food,2017-07-22 19:24:37 EEST,51.34015032,12.36981456,GERMANY
English,Signage,Food,Signage; Food,2017-07-22 19:26:17 EEST,51.34032779,12.3692757,GERMANY
"English,French,Arabic,Russian,Chinese",Signage,Education,Signage; Education,2017-07-22 19:27:59 EEST,51.3407006,12.36861191,GERMANY
English,Signage,Shopping,Signage; Shopping,2017-07-22 19:30:14 EEST,51.34068526,12.36813974,GERMANY
English,Signage,Shopping,Signage; Shopping,2017-07-22 19:31:31 EEST,51.34074096,12.36806279,GERMANY
English,Signage,Shopping,Signage; Shopping,2017-07-22 19:32:11 EEST,51.34079889,12.36802456,GERMANY
English,Signage,Food,Signage; Food,2017-07-22 19:34:09 EEST,51.34073763,12.36801843,GERMANY
English,Signage,Food,Signage; Food,2017-07-22 19:35:06 EEST,51.34093184,12.3680924,GERMANY
English,Signage,Shopping,Signage; Shopping,2017-07-22 19:36:16 EEST,51.34088706,12.3678846,GERMANY
English,Signage,Shopping,Signage; Shopping,2017-07-22 19:37:10 EEST,51.34092719,12.36768766,GERMANY
English,Signage,Shopping,Signage; Shopping,2017-07-22 19:37:57 EEST,51.34087164,12.36751344,GERMANY
Vietnamese,Signage,Food,Signage; Food,2017-07-22 19:38:34 EEST,51.34089253,12.3676173,GERMANY
English,Signage,Food,Signage; Food,2017-07-22 19:39:49 EEST,51.34101834,12.3678494,GERMANY
English,Signage,"Food,Entertainment","Signage; Food,Entertainment",2017-07-22 19:40:58 EEST,51.34110024,12.36748844,GERMANY
Italian,Signage,Food,Signage; Food,2017-07-22 19:43:26 EEST,51.34152203,12.3665302,GERMANY
French,Signage,Food,Signage; Food,2017-07-21 20:11:11 EEST,51.32320055,12.37338239,GERMANY
English,Signage,Service,Signage; Service,2017-07-21 20:12:30 EEST,51.3226385,12.37338499,GERMANY
Denglish,Signage,Service,Signage; Service,2017-07-21 20:14:24 EEST,51.32166025,12.37334065,GERMANY
Arabic,Signage,Food,Signage; Food,2017-07-21 20:15:05 EEST,51.32130485,12.37345741,GERMANY
Turkish,Signage,Food,Signage; Food,2017-07-21 20:15:52 EEST,51.32110352,12.37340184,GERMANY
English,Signage,Service,Signage; Service,2017-07-21 20:16:54 EEST,51.32087524,12.37355481,GERMANY
Denglish,Signage,Shopping,Signage; Shopping,2017-07-21 20:18:38 EEST,51.32163317,12.37387684,GERMANY
English,Signage,Shopping,Signage; Shopping,2017-07-21 20:19:44 EEST,51.32190588,12.37364994,GERMANY
"Spanish,Italian,Unknown",Signage,Shopping,Signage; Shopping,2017-07-21 20:20:26 EEST,51.32203253,12.37402168,GERMANY
Spanish,Signage,Food,Signage; Food,2017-07-21 20:21:46 EEST,51.32209678,12.37374776,GERMANY
Denglish,Poster,Entertainment,Poster; Entertainment,2017-07-21 20:22:31 EEST,51.32237451,12.37372697,GERMANY
English,Note,Inspirational,Note; Inspirational,2017-07-21 20:23:10 EEST,51.322545,12.37367802,GERMANY
English,Signage,Food,Signage; Food,2017-07-21 20:24:02 EEST,51.32310374,12.37374734,GERMANY
